iter	Passed	Remaining
0	1	1711
1	3	1608
2	4	1540
3	6	1553
4	7	1532
5	9	1535
6	10	1534
7	12	1532
8	13	1517
9	15	1529
10	17	1569
11	21	1784
12	26	2026
13	28	1987
14	29	1945
15	31	1945
16	33	1923
17	36	2012
18	41	2127
19	43	2138
20	45	2131
21	52	2355
22	55	2341
23	60	2460
24	62	2422
25	66	2474
26	67	2434
27	70	2455
28	72	2428
29	76	2461
30	78	2451
31	80	2426
32	82	2410
33	83	2386
34	85	2368
35	87	2344
36	89	2323
37	91	2311
38	92	2291
39	94	2272
40	97	2276
41	99	2268
42	101	2247
43	103	2240
44	105	2233
45	107	2232
46	109	2220
47	111	2208
48	116	2268
49	118	2258
50	121	2266
51	124	2264
52	126	2259
53	128	2248
54	129	2231
55	132	2229
56	134	2217
57	137	2237
58	139	2224
59	142	2225
60	143	2210
61	145	2194
62	146	2182
63	148	2174
64	151	2177
65	153	2169
66	155	2164
67	157	2153
68	158	2144
69	160	2132
70	162	2120
71	163	2106
72	165	2098
73	166	2087
74	168	2080
75	170	2072
76	172	2062
77	174	2056
78	175	2049
79	177	2039
80	179	2040
81	181	2034
82	183	2025
83	185	2028
84	187	2018
85	189	2013
86	191	2014
87	193	2006
88	196	2012
89	198	2005
90	200	1998
91	201	1993
92	203	1989
93	204	1975
94	207	1976
95	209	1968
96	210	1961
97	213	1964
98	215	1959
99	217	1953
100	219	1950
101	220	1943
102	222	1936
103	224	1932
104	225	1924
105	227	1918
106	229	1914
107	230	1907
108	233	1904
109	234	1899
110	235	1886
111	236	1878
112	238	1873
113	240	1871
114	242	1865
115	244	1859
116	245	1856
117	247	1851
118	249	1844
119	250	1840
120	252	1836
121	254	1831
122	256	1826
123	257	1822
124	259	1817
125	262	1818
126	264	1814
127	265	1809
128	267	1804
129	269	1801
130	271	1799
131	280	1842
132	281	1837
133	283	1830
134	285	1826
135	287	1824
136	289	1821
137	290	1816
138	292	1811
139	294	1806
140	296	1805
141	298	1801
142	299	1797
143	301	1793
144	303	1788
145	305	1784
146	306	1781
147	308	1776
148	310	1771
149	312	1768
150	313	1763
151	315	1759
152	317	1755
153	318	1752
154	320	1749
155	322	1746
156	324	1742
157	325	1737
158	328	1736
159	329	1731
160	331	1728
161	333	1724
162	335	1722
163	337	1718
164	339	1717
165	340	1712
166	342	1707
167	344	1705
168	345	1701
169	347	1696
170	349	1693
171	350	1688
172	351	1682
173	353	1678
174	355	1677
175	357	1673
176	359	1671
177	361	1669
178	363	1668
179	365	1666
180	368	1665
181	369	1661
182	371	1659
183	373	1655
184	375	1652
185	376	1649
186	378	1646
187	380	1642
188	382	1639
189	383	1636
190	385	1634
191	387	1632
192	389	1629
193	391	1625
194	393	1624
195	395	1621
196	397	1618
197	398	1614
198	400	1611
199	401	1607
200	403	1605
201	405	1602
202	407	1598
203	408	1595
204	410	1592
205	412	1588
206	414	1587
207	416	1585
208	417	1581
209	419	1579
210	421	1576
211	423	1573
212	424	1569
213	426	1566
214	428	1563
215	430	1561
216	432	1559
217	434	1557
218	435	1554
219	437	1550
220	439	1547
221	440	1544
222	442	1541
223	444	1540
224	450	1551
225	453	1552
226	457	1557
227	468	1586
228	472	1589
229	473	1586
230	475	1583
231	479	1586
232	481	1583
233	484	1585
234	486	1584
235	490	1586
236	491	1583
237	495	1587
238	497	1584
239	500	1583
240	501	1580
241	504	1580
242	506	1576
243	507	1572
244	509	1569
245	511	1569
246	513	1565
247	515	1561
248	516	1558
249	518	1554
250	519	1550
251	521	1548
252	523	1544
253	524	1540
254	526	1536
255	527	1533
256	530	1532
257	532	1530
258	533	1527
259	535	1523
260	536	1520
261	538	1517
262	540	1513
263	541	1510
264	543	1506
265	544	1503
266	546	1500
267	548	1497
268	549	1493
269	551	1491
270	553	1487
271	554	1484
272	556	1481
273	557	1478
274	559	1476
275	561	1472
276	563	1470
277	565	1467
278	566	1464
279	568	1462
280	570	1459
281	571	1456
282	573	1453
283	575	1451
284	577	1448
285	579	1447
286	581	1444
287	583	1442
288	585	1440
289	586	1437
290	588	1434
291	590	1431
292	592	1428
293	593	1425
294	595	1422
295	596	1419
296	598	1416
297	600	1413
298	601	1410
299	603	1408
300	605	1405
301	607	1403
302	608	1400
303	610	1397
304	612	1395
305	614	1392
306	615	1390
307	617	1387
308	619	1384
309	621	1382
310	622	1379
311	624	1376
312	625	1373
313	627	1371
314	629	1368
315	630	1365
316	632	1363
317	634	1360
318	636	1357
319	637	1354
320	639	1352
321	641	1349
322	642	1346
323	644	1344
324	646	1342
325	648	1339
326	649	1337
327	651	1335
328	653	1332
329	654	1329
330	656	1327
331	658	1324
332	659	1321
333	661	1319
334	663	1316
335	666	1316
336	668	1314
337	669	1312
338	671	1309
339	673	1307
340	675	1305
341	677	1304
342	679	1301
343	681	1299
344	683	1296
345	684	1294
346	686	1291
347	687	1288
348	689	1286
349	691	1283
350	692	1281
351	694	1279
352	696	1276
353	698	1274
354	700	1272
355	701	1269
356	703	1266
357	705	1264
358	706	1261
359	708	1259
360	710	1256
361	711	1254
362	713	1252
363	715	1250
364	717	1247
365	719	1245
366	720	1243
367	722	1241
368	724	1238
369	726	1236
370	728	1234
371	729	1232
372	731	1229
373	733	1228
374	735	1226
375	737	1224
376	739	1222
377	741	1220
378	743	1217
379	745	1215
380	746	1213
381	748	1210
382	750	1208
383	752	1206
384	753	1203
385	755	1201
386	757	1199
387	758	1196
388	760	1193
389	761	1191
390	763	1189
391	765	1187
392	767	1184
393	768	1182
394	770	1179
395	771	1177
396	773	1175
397	775	1172
398	776	1170
399	778	1168
400	780	1165
401	782	1163
402	783	1161
403	785	1158
404	787	1156
405	789	1154
406	790	1152
407	792	1149
408	793	1147
409	795	1145
410	797	1142
411	799	1140
412	801	1138
413	802	1136
414	804	1134
415	806	1132
416	808	1130
417	810	1128
418	812	1126
419	813	1124
420	815	1121
421	817	1120
422	819	1117
423	822	1116
424	823	1114
425	825	1112
426	827	1110
427	829	1108
428	830	1105
429	832	1103
430	834	1101
431	835	1099
432	837	1097
433	839	1094
434	841	1092
435	842	1090
436	844	1088
437	846	1086
438	848	1084
439	850	1081
440	851	1079
441	853	1077
442	854	1074
443	856	1072
444	858	1070
445	859	1067
446	861	1065
447	862	1063
448	864	1060
449	866	1058
450	868	1056
451	869	1054
452	871	1052
453	872	1049
454	874	1047
455	876	1045
456	878	1043
457	880	1041
458	881	1039
459	883	1036
460	884	1034
461	886	1032
462	888	1030
463	889	1028
464	891	1025
465	893	1023
466	894	1021
467	896	1018
468	898	1016
469	900	1014
470	901	1012
471	903	1010
472	905	1008
473	906	1006
474	908	1004
475	910	1002
476	912	1000
477	914	998
478	916	996
479	917	994
480	919	992
481	921	990
482	923	988
483	924	985
484	926	983
485	927	981
486	929	979
487	931	977
488	933	975
489	934	972
490	936	970
491	938	968
492	940	966
493	941	964
494	943	962
495	945	960
496	946	957
497	948	955
498	949	953
499	951	951
500	953	949
501	955	947
502	956	945
503	958	943
504	960	941
505	961	939
506	963	937
507	965	935
508	967	933
509	969	931
510	970	929
511	972	926
512	974	925
513	976	922
514	977	920
515	979	918
516	980	916
517	982	914
518	984	912
519	986	910
520	988	908
521	990	906
522	991	904
523	994	902
524	995	900
525	997	898
526	999	896
527	1000	894
528	1002	892
529	1004	890
530	1005	888
531	1007	886
532	1009	884
533	1010	881
534	1012	879
535	1014	877
536	1015	875
537	1017	873
538	1019	871
539	1020	869
540	1022	867
541	1024	865
542	1025	863
543	1027	861
544	1029	859
545	1031	857
546	1032	854
547	1034	852
548	1035	850
549	1037	848
550	1039	847
551	1041	845
552	1043	843
553	1044	841
554	1046	839
555	1048	837
556	1050	835
557	1051	833
558	1054	831
559	1055	829
560	1057	827
561	1059	825
562	1061	823
563	1063	821
564	1065	819
565	1066	818
566	1068	815
567	1070	813
568	1071	811
569	1072	809
570	1074	807
571	1076	805
572	1078	803
573	1079	801
574	1081	799
575	1083	797
576	1085	795
577	1086	793
578	1088	791
579	1090	789
580	1091	787
581	1093	785
582	1095	783
583	1096	781
584	1098	779
585	1100	777
586	1102	775
587	1103	773
588	1105	771
589	1107	769
590	1108	767
591	1110	765
592	1112	763
593	1114	761
594	1115	759
595	1117	757
596	1119	755
597	1120	753
598	1122	751
599	1124	749
600	1125	747
601	1127	745
602	1129	743
603	1131	741
604	1132	739
605	1134	737
606	1136	735
607	1138	733
608	1139	731
609	1141	729
610	1143	727
611	1144	725
612	1146	723
613	1148	721
614	1149	719
615	1151	717
616	1153	715
617	1154	713
618	1156	711
619	1158	709
620	1159	707
621	1161	705
622	1162	703
623	1164	701
624	1166	699
625	1167	697
626	1169	695
627	1171	693
628	1172	691
629	1173	689
630	1175	687
631	1177	685
632	1178	683
633	1180	681
634	1182	679
635	1183	677
636	1185	675
637	1187	673
638	1189	671
639	1190	669
640	1192	667
641	1194	665
642	1195	663
643	1197	661
644	1199	659
645	1200	657
646	1202	656
647	1204	654
648	1205	652
649	1207	650
650	1209	648
651	1211	646
652	1213	644
653	1214	642
654	1216	640
655	1218	638
656	1219	636
657	1221	634
658	1222	632
659	1224	630
660	1225	628
661	1227	626
662	1229	625
663	1231	622
664	1232	620
665	1234	619
666	1236	617
667	1237	615
668	1238	612
669	1240	611
670	1242	609
671	1243	607
672	1245	605
673	1247	603
674	1248	601
675	1250	599
676	1251	597
677	1253	595
678	1255	593
679	1256	591
680	1258	589
681	1260	587
682	1261	585
683	1263	583
684	1265	581
685	1266	579
686	1268	578
687	1270	576
688	1272	574
689	1274	572
690	1276	570
691	1278	569
692	1280	567
693	1282	565
694	1285	564
695	1287	562
696	1289	560
697	1291	558
698	1293	556
699	1295	555
700	1298	553
701	1300	552
702	1302	550
703	1304	548
704	1306	546
705	1308	544
706	1310	543
707	1312	541
708	1315	539
