iter	Passed	Remaining
0	106	106227
1	107	53650
2	108	36119
3	109	27355
4	111	22170
5	112	18649
6	113	16135
7	114	14246
8	116	12796
9	117	11624
10	118	10659
11	119	9849
12	120	9165
13	122	8600
14	123	8114
15	124	7669
16	125	7275
17	126	6922
18	128	6608
19	129	6329
20	130	6078
21	131	5846
22	132	5630
23	133	5441
24	135	5279
25	136	5114
26	137	4967
27	139	4827
28	140	4696
29	141	4576
30	142	4462
31	143	4353
32	145	4249
33	146	4153
34	147	4060
35	148	3974
36	149	3892
37	150	3817
38	152	3755
39	153	3685
40	154	3621
41	156	3561
42	157	3502
43	158	3441
44	159	3390
45	161	3341
46	162	3290
47	163	3248
48	164	3201
49	166	3156
50	167	3110
51	168	3067
52	169	3028
53	170	2993
54	172	2955
55	173	2917
56	174	2880
57	175	2846
58	176	2815
59	177	2786
60	178	2753
61	179	2720
62	180	2686
63	181	2655
64	182	2628
65	183	2598
66	184	2569
67	185	2539
68	186	2513
69	187	2485
70	188	2461
71	189	2436
72	189	2411
73	190	2386
74	191	2363
75	192	2340
76	193	2317
77	194	2296
78	195	2277
79	196	2257
80	197	2238
81	198	2218
82	198	2194
83	199	2176
84	200	2158
85	201	2142
86	202	2124
87	203	2108
88	204	2091
89	204	2071
90	205	2054
91	206	2039
92	207	2021
93	208	2007
94	209	1993
95	210	1980
96	211	1965
97	212	1952
98	213	1940
99	215	1935
100	216	1928
101	217	1916
102	218	1906
103	220	1897
104	221	1890
105	223	1881
106	224	1872
107	225	1863
108	226	1854
109	228	1846
110	229	1838
111	230	1830
112	232	1822
113	233	1813
114	234	1805
115	236	1799
116	237	1792
117	238	1785
118	240	1777
119	241	1770
120	242	1762
121	244	1756
122	245	1749
123	246	1742
124	247	1735
125	249	1728
126	250	1722
127	252	1721
128	253	1714
129	255	1707
130	256	1701
131	257	1693
132	258	1686
133	260	1682
134	261	1675
135	262	1670
136	264	1663
137	265	1658
138	266	1651
139	267	1645
140	269	1639
141	270	1632
142	271	1624
143	272	1619
144	273	1614
145	275	1608
146	276	1602
147	277	1596
148	278	1591
149	279	1586
150	281	1581
151	282	1575
152	283	1570
153	284	1565
154	286	1561
155	287	1556
156	289	1551
157	290	1546
158	291	1543
159	292	1537
160	294	1535
161	296	1531
162	297	1527
163	298	1522
164	299	1517
165	300	1512
166	302	1507
167	303	1503
168	305	1500
169	306	1494
170	307	1490
171	308	1487
172	310	1482
173	311	1479
174	312	1474
175	313	1470
176	315	1466
177	316	1462
178	317	1457
179	319	1453
180	320	1448
181	321	1444
182	322	1441
183	323	1436
184	325	1432
185	326	1429
186	327	1424
187	328	1420
188	330	1416
189	331	1411
190	332	1407
191	333	1404
192	335	1400
193	336	1397
194	337	1393
195	338	1389
196	340	1386
197	341	1381
198	342	1377
199	343	1373
200	344	1370
201	345	1366
202	347	1362
203	348	1359
204	349	1356
205	350	1352
206	352	1348
207	353	1345
208	354	1342
209	355	1339
210	357	1336
211	358	1333
212	359	1329
213	361	1326
214	362	1323
215	363	1321
216	365	1317
217	366	1314
218	367	1311
219	368	1307
220	370	1305
221	371	1302
222	373	1299
223	374	1298
224	376	1295
225	377	1293
226	378	1290
227	380	1286
228	381	1283
229	382	1281
230	384	1278
231	385	1275
232	386	1272
233	387	1270
234	389	1267
235	390	1264
236	392	1262
237	393	1259
238	394	1256
239	395	1253
240	397	1250
241	398	1248
242	399	1245
243	401	1242
244	402	1240
245	403	1237
246	405	1234
247	406	1231
248	407	1228
249	408	1225
250	409	1223
251	411	1220
252	412	1217
253	413	1214
254	415	1213
255	416	1210
256	417	1208
257	419	1205
258	420	1202
259	421	1199
260	422	1196
261	423	1193
262	425	1191
263	426	1188
264	427	1186
265	429	1184
266	430	1181
267	431	1179
268	433	1177
269	434	1175
270	435	1172
271	437	1169
272	438	1168
273	439	1165
274	441	1163
275	442	1160
276	443	1157
277	445	1156
278	447	1155
279	448	1152
280	449	1150
281	450	1147
282	451	1143
283	453	1142
284	454	1139
285	455	1136
286	456	1133
287	457	1131
288	458	1128
289	459	1126
290	461	1123
291	462	1121
292	463	1118
293	464	1116
294	466	1114
295	467	1111
296	468	1109
297	469	1106
298	471	1104
299	472	1102
300	473	1099
301	474	1097
302	476	1095
303	477	1092
304	478	1090
305	479	1088
306	481	1086
307	482	1084
308	483	1081
309	485	1081
310	486	1078
311	488	1076
312	489	1074
313	490	1072
314	491	1069
315	493	1067
316	494	1065
